,NCT Number,Title,Interventions,Phases,Official Title
112,NCT00486759,a studi of bevacizumab avastin in combin with rituximab mabthera and chop cyclophosphamide hydroxydaunorubicin doxorubicin oncovin vincristine prednisone chemotherapi in patient with diffus larg bcell lymphoma,"['bevacizumab', 'rituximab', 'chop', 'placebo']",['3'],a multicenter randomized doubleblind placebocontrol phase iii trial compar the efficaci of bevacizumab in combin with rituximab and chop rchop  bevacizumab versus rituximab and chop rchop in previous untreat patient with cd20posit diffus larg bcell lymphoma dlbcl
114,NCT01481129,akt inhibitor mk2206 in treat patient with relaps or refractori diffus larg bcell lymphoma,['akt inhibitor mk2206'],['2'],a phase 2 studi of mk2206 in patient with relaps or refractori diffus largeb cell lymphoma
117,NCT01741792,clinic studi with blinatumomab in patient with relapsedrefractori diffus larg bcell lymphoma dlbcl,['blinatumomab'],['2'],an open label multicenter exploratori phase 2 studi to evalu the efficaci and safeti of the bispecif tcell engag bite® blinatumomab in patient with relapsedrefractori diffus larg bcell lymphoma dlbcl
119,NCT02471911,kpt330 plus rice for relapsedrefractori aggress bcell lymphoma,"['kpt-330', 'rituximab', 'etoposide', 'carboplatin', 'ifosfamide', 'dexamethasone']",['1'],a phase i investigatoriniti studi of selinexor kpt330 plus rice in patient with relaps or refractori aggress bcell lymphoma
122,NCT01481272,ofatumumab with ivac salvag chemotherapi in diffus larg b cell lymphoma patient,"['ofatumumab', 'etoposide', 'ifosfamid', 'mesna', 'cytarabine', 'methotrexate', 'leukovorin', 'granulocyte-colony stimulating factor']",['2'],a phase ii trial on ofatumumab with ivac salvag chemotherapi in diffus larg b cell lymphoma patient progress or relaps after prior rchop treatment not suitabl for autolog stem cell transplant
123,NCT01470456,combin of sar3419 and rituximab in relapsedrefractori diffus larg bcell lymphoma,"['sar3419', 'rituximab']",['2'],an open label multicent phase ii studi of intraven sar3419 an anticd19 antibodymaytansin conjugate in combin with rituximab in patient with relaps or refractori diffus larg bcell lymphoma
124,NCT01004991,phase iii trial of rchop  azacytidin in diffus larg b cell lymphoma,"['cyclophosphamide', 'vincristine', 'doxorubicin', 'prednisone', 'azacytidine']","['1', '2']",phase iii trial of azacytidin  rchop in diffus larg bcell lymphoma
127,NCT01472887,sar3419 as singl agent in relapsedrefractori diffus larg bcell lymphoma dlbcl patient,['sar3419'],['2'],an open label nonrandom phase 2 studi evalu sar3419 an anticd19 antibodi  maytansin conjugate administ as singl agent by intraven infus to patient with relaps or refractori cd19 diffus larg bcell lymphoma
128,NCT00169169,efficaci studi of rituximab after asct in highrisk diffus larg bcell lymphoma,"['acvbp', 'ace', 'rituximab']",['3'],randomis phase 3 studi of rituximab in highrisk patient with diffus larg bcell lymphoma who receiv a firstlin consolid chemotherapi with autolog stem cell transplant asct
129,NCT00790036,phase iii studi of rad001 adjuv therapi in poor risk patient with diffus larg bcell lymphoma dlbcl of rad001 versus match placebo after patient have achiev complet respons with firstlin rituximabchemotherapi,"['everolimus', 'everolimus placebo']",['3'],a randomized doubleblind placebocontrolled multicent phase iii studi of rad001 adjuv therapi in poor risk patient with diffus larg bcell lymphoma dlbcl of rad001 versus match placebo after patient have achiev complet respons with firstlin rituximabchemotherapi
131,NCT01423539,a studi of navitoclax in addit to bendamustin and rituximab in patient with relaps diffus larg bcell lymphoma navigate,"['bendamustine', 'navitoclax', 'rituximab']",['2'],a phase ii multicenter randomized controlled openlabel studi of bendamustin  rituximab with or without navitoclax in patient with relaps diffus larg bcell lymphoma
132,NCT00836173,rituximab ifosfamide carboplatin and etoposid rice follow by gallium nitrate rituximab and dexamethason gard for relaps or refractori diffus larg bcell lymphoma,"['rice', 'gard treatment']",['2'],a phase ii studi evalu three cyslc of ifosfamide carboplatin etoposide and rituximab rice follow by two cycl of gallium nitrate rituximab and dexamethason gard for relaps or refractori diffus larg bcell lymphoma ma
134,NCT01678404,131irituximab for relaps or refractori margin zone bcell lymphoma,['131i-rituximab'],['2'],a phase ii studi of 131irituximab for patient with relaps or refractori margin zone bcell lymphoma
136,NCT02112526,acp196 a btk inhibitor for treatment of de novo activ bcell abc subtyp of diffus larg bcell lymphoma,['acp-196'],['1'],an openlabel phase 1b studi of acp 196 in subject with relaps or refractori de novo activ bcell abc subtyp of diffus larg bcell lymphoma
137,NCT00869999,everolimus plus rituximab for relapsedrefractori diffus larg b cell lymphoma,"['everolimus', 'rituximab']",['2'],everolimus in combin with rituximab for relapsedrefractori diffus larg b cell lymphoma
138,NCT00978432,epigenet modul in relapsedrefractori diffus larg bcell lymphoma dlbcl,"['rad001', 'lbh589', 'doublet ']",['2'],a phase 2 studi to evalu the efficaci of epigenet modul in relapsedrefractori diffus larg bcell lymphoma dlbcl
139,NCT01562990,phase ibii studi of the efficaci and safeti of the rcmc544rgemox combin in diffus lage bcell lymphoma at first or second relaps,"['rituximab', 'cmc544', 'gemcitabine', 'oxaliplatine']","['1', '2']",a multicenter phase ibii open label singl arm studi of inotuzumab ozogamicin plus rituximab rcmc544 altern with gemcitabineoxaliplatin plus rituximabrgemoxin patient age from 18 to 80 year with cd20 and cd22 posit diffus larg bcell lymphoma dlbcl in relaps afterrefractori to 1st or 2nd line treatment who are no candid for autolog transplant
140,NCT01502982,dose dens chemotherapi and rituximab for young high risk diffus larg bcell lymphoma patient cry04,['r-choep14x6+hd'],['2'],choep14  rituximab with cns prophylaxi in patient less than 65 year with diffus larg bcell lymphomafollicular lymphoma grade iii stage iiiv with risk factor age adjust ipi ≥ 2 a phase ii studi
141,NCT00831597,bendamustin combin with rituximab for patient with relaps or refractori diffus larg bcell lymphoma,"['bendamustine', 'rituximab']",['2'],bendamustin combin with rituximab for patient with relaps or refractori diffus larg bcell lymphoma
142,NCT01066429,daedoch14r in poorprognosi diffus larg bcell lymphoma,"['dexamethasone', 'dose']",['2'],treatment with infusion doseadjust etoposidevincristinedoxorubicinbolus cyclophosphamidedexamethason and rituximab daedoch14r in patient with poorprognosi diffus larg bcell lymphoma
144,NCT00474188,a studi to evalu lenalidomid combin with dexamethason in relaps or refractori diffus larg bcell lymphoma,"['cc-5013 ', 'dexamethasone']",['2'],a phase ii multicenter singlearm openlabel studi to evalu the safeti and efficaci of lenalidomid revlimid ® in combin with dexamethason in subject with relaps or refractori diffus larg bcell lymphoma
145,NCT01287741,a studi of obinutuzumab in combin with chop chemotherapi versus rituximab with chop in particip with cd20posit diffus larg bcell lymphoma goya,"['rituximab', 'obinutuzumab', 'cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisone']",['3'],a phase iii multicenter openlabel random trial compar the efficaci of ga101 ro5072759 in combin with chop gchop versus rituximab and chop rchop in previous untreat patient with cd20posit diffus larg bcell lymphoma dlbcl
147,NCT00169143,studi of racvbp regimen support by pegfilgrastim in highrisk diffus larg bcell lymphoma,"['rituximab', 'acvbp regimen', 'pegfilgrastim']",['2'],studi of racvbp regimen support by pegfilgrastim in previous untreat patient age from 18 to 60 year with highrisk diffus larg bcell lymphoma ageadjust ipi or 2
148,NCT00788606,rchopb bevacizumab for diffus larg b cell lymphoma,"['bevacizumab', 'rituximab']",['2'],feasibl studi of rchop plus bevacizumab in patient with diffus larg b cell lymphoma dlbcl
149,NCT02077166,ibrutinib in combin with lenalidomid and rituximab in particip with relaps or refractori diffus larg bcell lymphoma,"['ibrutinib', 'lenalidomide', 'rituximab']","['1', '2']",a multicent openlabel phase 1b2 studi of the bruton tyrosin kinas btk inhibitor ibrutinib in combin with lenalidomid and rituximab in subject with relaps or refractori diffus larg bcell lymphoma
150,NCT00918463,a studi to evalu the safeti and efficaci of dasatinib sprycel in subject with relaps or refractori diffus larg bcell lymphoma dlbcl,['dasatinib'],['2'],a phase ii singleinstitution singlearm openlabel studi to evalu the safeti and efficaci of a singl agent dasatinib sprycel in subject with relaps or refractori diffus larg bcell lymphoma
152,NCT02271945,safetyefficaci of medi551 in combin with immunomodul therapi in subject with aggress bcell lymphoma,"['medi-551 12 mg', 'medi0680 2', 'medi0680 10 mg']","['1', '2']",a phase 1b2 openlabel studi to evalu the safetyefficaci of medi551 in combin with immunomodul therapi in subject with relaps or refractori aggress bcell lymphoma
153,NCT00440583,the respons studi of yt90zevalin in patient with diffus larg bcell lymphoma after 6 cycl of chop,['chemotherapy followed by zevalin'],['2'],yt90 zevalin  combin chemotherapi in treat patient with stage iistag iiior stage iv diffus larg bcell lymphoma
154,NCT02670616,studi of ibrutinib in combin with rituximabchop in epsteinbarr virusposit diffus larg bcell lymphoma,"['ibrutinib', 'rituximab', 'cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisolone']",['2'],phase ii studi of ibrutinib in combin with rituximabchop in epsteinbarr virusposit diffus larg bcell lymphoma 54179060lym2003 nick name ivori study
155,NCT01040871,studi of the combin of velcade rituximab cyclophosphamide doxorubicin and prednison or rituximab cyclophosphamide doxorubicin vincristine and prednison in patient with newli diagnos nongermin center bcell subtyp of diffus larg bcell lymphoma,"['velcade', 'rituximab', 'cyclophosphamide', 'doxorubicin', 'prednisone', 'vincristine']",['2'],a randomized openlabel multicent phase 2 studi of the combin of velcade rituximab cyclophosphamide doxorubicin and prednison or rituximab cyclophosphamide doxorubicin vincristine and prednison in patient with newli diagnos nongermin center bcell subtyp of diffus larg bcell lymphoma
156,NCT02420210,bendamustine obinutuzumab and dexamethason in older patient with diffus larg bcell lymphoma,"['bendamustine hydrochloride', 'dexamethasone']",['2'],multicent phase ii studi of the bendamustine obinutuzumab and dexamethason bod regimen in unfit elder ≥ 70 year of age diffus larg bcell nonhodgkin lymphoma dlbcl patient
158,NCT00118209,rituximab and combin chemotherapi in treat patient with diffus larg bcell nonhodgkin lymphoma,"['cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisone', 'etoposide', 'filgrastim', 'pegfilgrastim']",['3'],phase iii random studi of rchop v doseadjust epochr with molecular profil in untreat de novo diffus larg bcell lymphoma
159,NCT00209014,phase ii trial of thalidomid in refractoryrelaps diffus larg bcell lymphoma and hodgkin diseas,['thalidomide'],['2'],phase ii trial of thalidomid in refractoryrelaps diffus larg bcell lymphoma and hodgkin diseas
163,NCT02679196,the safety pharmacokinet and pharmacodynam effect of ka2237 pi3 kinas p110βδ inhibitor in b cell lymphoma,['ka2237'],['1'],an open label ascend dose studi evalu the safetytolerability pharmacokinet and pharmacodynam effect of ka2237 in patient with b cell lymphoma
164,NCT02594163,studi of rituximab and bendamustin with or without brentuximab vedotin for cd30 posit diffus larg bcell lymphoma,"['brentuximab vedotin', 'rituximab', 'bendamustine']",['2'],a randomized open label phase 2 studi of rituximab and bendamustin with or without brentuximab vedotin for relaps or refractori cd30posit diffus larg bcell lymphoma
165,NCT02596971,a studi of atezolizumab in combin with either obinutuzumab plus bendamustin or obinutuzumab plus  cyclophosphamide doxorubicin vincristine and prednison chop in particip with follicular lymphoma fl or rituximab  chop in particip with diffus larg bcell lymphoma dlbcl,"['atezolizumab', 'bendamustine', 'cyclophosphamide', 'doxorubicin', 'obinutuzumab', 'prednisone', 'vincristine', 'rituximab']","['1', '2']",a phase ibii studi evalu the safeti and efficaci of atezolizumab in combin with either obinutuzumab plus bendamustin or obinutuzumab plus chop in patient with follicular lymphoma or rituximab plus chop in patient with diffus larg bcell lymphoma
166,NCT00575406,multicentr studi to determin the cardiotox of rchop compar to rcomp in patient with diffus larg bcell lymphoma,"['rituximab', 'cyclophosphamide', 'doxorubicin', 'liposomal doxorubicin', 'vincristin', 'prednisolone']",['2'],multicentr studi to determin the cardiotox of rchop rituximab cyclophosphamide doxorubicin vincristin and prednisolone compar to rcomp rituximab cyclophosphamide liposom doxorubicin vincristin and prednisolone in patient with diffus larg bcell lymphoma nhl14
167,NCT01195714,studi of minichop plus ofatumumab to treat cd 20 diffus larg bcell lymphoma in patient age over 80 year,['ofatumumab'],['2'],phase ii studi of minichop plus ofatumumab o in non previous treat patient age over 80 year with cd 20 diffus larg bcell lymphoma
169,NCT01852435,rceop90rceop70 versus rchop50 in the treatment of diffus larg bcell lymphoma and follicular lymphoma grade 3b,"['r-ceop', 'r-ceop', 'r-chop']",['3'],a multicenter prospective random phase iii studi of the safeti and efficaci of rceop90rceop70 versus rchop50 in the treatment of diffus larg bcell lymphoma and follicular lymphoma grade 3b
175,NCT00931918,studi to assess the effect of rchop with or without velcad in previous untreat nongermin center bcelllik diffus larg bcell lymphoma patient,"['bortezomib', 'rituximab', 'cyclophosphamide', 'doxorubicin', 'vincristine', 'prednisone']",['2'],an openlabel randomized phase 2 studi to assess the effect of rchop with or without velcad in previous untreat nongermin center bcelllik diffus larg bcell lymphoma patient
177,NCT00316511,studi of lnddp aroplatin in patient with advanc solid malign or bcell lymphoma,['aroplatin'],['1'],a phase 1 multicenter dose escal and pharmacokinet studi of lnddp aroplatin in patient with advanc solid malign or bcell lymphoma
178,NCT01786018,thiotepa busulfan and fludarabin for pt with refractoryear relaps aggress bcell non hodgkin lymphoma,"['thiotepa', 'busulfan', 'fludarabin', 'immunosuppression', 'cyclosporine', 'methotrexate', 'atg']",['2'],allogen transplant after a condit with thiotepa busulfan and fludarabin for the treatment of refractoryear relaps aggress bcell non hodgkin lymphomas a phase ii multicent trial
180,NCT00147121,rituximabstandard chop vs rituximabbiweek chop for untreat stage iiiiv lowgrad bcell lymphoma jcog0203,"['rituximab', 'standard chop', 'rituximab', 'bi']","['2', '3']",rituximab  standard chop r･schop vs rituximab biweek chop r･bichop rctphase iiiii for stage iiiiv lowgrad bcell lymphoma lowbnhlrsbichopp23 jcog0203
181,NCT02600897,a studi of obinutuzumab polatuzumab vedotin and lenalidomid in relaps or refractori follicular lymphoma fl and rituximab in combin with polatuzumab vedotin and lenalidomid in relaps or refractori diffus larg bcell lymphoma dlbcl,"['lenalidomide', 'obinutuzumab', 'polatuzumab vedotin', 'rituximab']",['1'],a phase ibii studi evalu the safeti and efficaci of obinutuzumab in combin with polatuzumab vedotin and lenalidomid in patient with relaps or refractori follicular lymphoma and rituximab in combin with polatuzumab vedotin and lenalidomid in patient with relaps or refractori diffus larg bcell lymphoma
182,NCT00434629,safeti and efficaci of bexxar therapi in the treatment of relapsedresidu bcell lymphoma after autolog transplant,['bexxar'],['1'],a phase i studi of bexxar® tositumomab and 131itositumomab radioimmunotherapi in patient with relaps or residu cd20 antigenexpress bcell lymphoma follow autolog hematopoiet stem cell transplant
