"Rank","NCT Number","Title","Acronym","Status","Study Results","Interventions","Phases","Results First Posted","URL"
27,"NCT00097929","An Investigational Drug Study With Suberoylanilide Hydroxamic Acid in Relapsed Diffuse Large B-cell Lymphoma (0683-013)",,"Completed","No Results Available","Drug: MK0683, vorinostat, Suberoylanilide Hydroxamic Acid (SAHA) / Duration of Treatment 6 Months","Phase 2","null","https://ClinicalTrials.gov/show/NCT00097929"
28,"NCT01226849","Feasibility Study Of Adding Bortezomib to R-ICE Chemotherapy To Treat Relapsed/ Refractory Diffuse Large B-Cell Lymphoma","SGH652","Completed","No Results Available","Drug: bortezomib, rituximab, ifosphamide, etoposide, carboplatin","Phase 1","null","https://ClinicalTrials.gov/show/NCT01226849"
29,"NCT02767674","Trial of R-GemOx Versus R-miniCHOP Regimen in First-line Treatment of Elderly Diffuse Large B Cell Lymphoma",,"Recruiting","No Results Available","Drug: Rituximab|Drug: Gemcitabine|Drug: Oxaliplatin|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone","Phase 3","null","https://ClinicalTrials.gov/show/NCT02767674"
30,"NCT00801216","High-Dose Sequential Chemoimmunotherapy for B-Cell Lymphomas With Central Nervous System Involvement","SCNSL1","Unknown status","No Results Available","Drug: High-dose sequential chemotherapy and autologous transplant","Phase 2","null","https://ClinicalTrials.gov/show/NCT00801216"
31,"NCT00761384","High Dose, Absorbed Dose Adjusted 90Y-ibritumomab With Peripheral Blood Stem Cells (PBSC) Support in B-cell Lymphoma","HITT","Completed","No Results Available","Drug: 90Y-ibritumomab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT00761384"
32,"NCT00965289","High-dose Chemotherapy With Rituximab for Adults With Aggressive Large B-cell Lymphoma",,"Completed","No Results Available","Drug: Rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT00965289"
33,"NCT01369784","Prognostic Value of Clinical and Biological Factors in Patients With Refractory/Relapsed Diffuse Large B-cell Lymphoma","PRO-R-IPI","Completed","Has Results","","","April 18, 2016","https://ClinicalTrials.gov/show/NCT01369784"
34,"NCT01793844","A Study of Improving the Efficacy of Treatment in Diffused Large B Cell Lymphoma Patients",,"Unknown status","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT01793844"
35,"NCT03630159","Study of Tisagenlecleucel in Combination With Pembrolizumab in r/r Diffuse Large B-cell Lymphoma Patients","PORTIA","Recruiting","No Results Available","Biological: Tisagenlecleucel|Drug: Pembrolizumab","Phase 1","null","https://ClinicalTrials.gov/show/NCT03630159"
36,"NCT02733380","Chidamide Combined With VDDT Regimen in the Relapse and Refractory Diffuse Large B Cell Lymphoma",,"Recruiting","No Results Available","Drug: Chidamide|Drug: Vinorelbine|Drug: Liposomal Doxorubicin or mitoxantrone|Drug: Dexamethasone|Drug: Thalidomide","Phase 2","null","https://ClinicalTrials.gov/show/NCT02733380"
37,"NCT03188198","Risk Adapted Therapy in Diffuse Large B Cell Lymphoma",,"Recruiting","No Results Available","Drug: rituximab, etoposide, cyclophosphamide, doxorubicin, vincristine,prednisone, filgrastim","Phase 2","null","https://ClinicalTrials.gov/show/NCT03188198"
38,"NCT03704298","Safety and Efficacy of Axicabtagene Ciloleucel in Combination With Utomilumab in Adults With Refractory Large B-cell Lymphoma","ZUMA-11","Not yet recruiting","No Results Available","Drug: Cyclophosphamide|Drug: Fludarabine|Biological: Axicabtagene Ciloleucel|Biological: Utomilumab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03704298"
39,"NCT03391726","CART-19 Cells for R/R B-cell Lymphoma","CCFRRBL","Recruiting","No Results Available","Other: CART-19 cells","Phase 2|Phase 3","null","https://ClinicalTrials.gov/show/NCT03391726"
40,"NCT02777736","CNS Prophylaxis in Diffuse Large B-cell Lymphoma","CLSG-CNS-001","Recruiting","No Results Available","Drug: Methotrexate","Phase 3","null","https://ClinicalTrials.gov/show/NCT02777736"
41,"NCT00906841","Study of 90Y-DOTA-hLL2 as a Consolidation Therapy After R-CHOP in Patients With Diffuse Large B-cell Lymphoma",,"Terminated","No Results Available","Drug: 90Y-DOTA-hLL2","Phase 2","null","https://ClinicalTrials.gov/show/NCT00906841"
42,"NCT01626352","Study of Bendamustine and Ofatumumab in Elderly Patients With Newly Diagnosed Diffuse Large B-Cell Lymphoma Who Are Poor Candidates for R-CHOP Chemotherapy",,"Completed","Has Results","Drug: Bendamustine|Drug: Ofatumumab","Phase 2","October 18, 2017","https://ClinicalTrials.gov/show/NCT01626352"
43,"NCT00846157","Biocell Natural Killer Mixture in Diffuse Large B Cell Lymphoma (DLBCL) Patients","NKCell","Unknown status","No Results Available","Biological: NKM injection","Phase 3","null","https://ClinicalTrials.gov/show/NCT00846157"
44,"NCT00754117","Early Response Assessment in Diffuse Large B-Cell Lymphoma (DLCL) Patients by 18-fluoro-2-deoxyglycose Positron Emission Tomography (FDG-PET)",,"Completed","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT00754117"
45,"NCT01402440","Study of AEB071 (a Protein Kinase C Inhibitor) in Patients With CD79-mutant Diffuse Large B-Cell Lymphoma",,"Terminated","No Results Available","Drug: AEB071","Phase 1","null","https://ClinicalTrials.gov/show/NCT01402440"
46,"NCT01854606","Safety and Efficacy of AEB071 and EVEROLIMUS in Patients With CD79-mutant or ABC Subtype Diffuse Large B-Cell Lymphoma","COEB071X2103","Completed","No Results Available","Drug: AEB071|Drug: Everolimus","Phase 1","null","https://ClinicalTrials.gov/show/NCT01854606"
47,"NCT02715843","Extended Treatment Access Study of MT-3724 for Subjects With Relapsed Non-Hodgkin's B-Cell Lymphoma",,"Available","No Results Available","Drug: MT-3724","","null","https://ClinicalTrials.gov/show/NCT02715843"
48,"NCT01202448","Prospective Cohort Study With Central Nervous System Evaluation in Diffuse Large B-cell Lymphoma","PROCESS","Completed","No Results Available","Procedure: CSF analysis","Not Applicable","null","https://ClinicalTrials.gov/show/NCT01202448"
49,"NCT03513601","Treatment of Elderly Patients With Diffuse Large B-cell Lymphoma",,"Recruiting","No Results Available","Drug: (R)-CHOP regimen|Drug: (R)-CVP regimen","Phase 4","null","https://ClinicalTrials.gov/show/NCT03513601"
50,"NCT02227251","A Phase 2b Open-label Study of Selinexor (KPT-330) in Patients With Relapsed/Refractory Diffuse Large B-Cell Lymphoma (DLBCL)",,"Recruiting","No Results Available","Drug: Selinexor","Phase 2","null","https://ClinicalTrials.gov/show/NCT02227251"
51,"NCT03719560","Early Systemic Central Nervous System Prophylaxis in Diffuse Large B-cell Lymphoma","BrUOG-377","Not yet recruiting","No Results Available","Drug: Methotrexate|Drug: Cytarabine","Phase 2","null","https://ClinicalTrials.gov/show/NCT03719560"
52,"NCT00169468","Association of Velcade to R-CHOP in the Treatment of B Cell Lymphoma",,"Completed","No Results Available","Drug: Rituximab -CHOP plus Velcade","Phase 2","null","https://ClinicalTrials.gov/show/NCT00169468"
53,"NCT03576443","Trial of Idelalisib in Patients With Relapsed Diffuse Large B-cell Lymphoma","ILIAD","Recruiting","No Results Available","Drug: Idelalisib","Phase 2","null","https://ClinicalTrials.gov/show/NCT03576443"
54,"NCT03208556","Safety and Efficacy of iPD1 CD19 eCAR T Cells in Relapsed or Refractory B-cell Lymphoma",,"Recruiting","No Results Available","Biological: iPD1 CD19 eCAR T cells|Drug: Fludarabine and cyclophosphamide","Phase 1","null","https://ClinicalTrials.gov/show/NCT03208556"
55,"NCT01046825","Mature B-Cell Lymphoma And Leukemia Study III",,"Recruiting","No Results Available","Drug: COPAD|Drug: COP, COPD M3, CYM|Drug: COP, COPADM8, CYVE","Phase 2|Phase 3","null","https://ClinicalTrials.gov/show/NCT01046825"
56,"NCT03579082","A Clinical Trial of Decitabine in Relapse and Refractory Diffuse Large B Cell Lymphoma",,"Recruiting","No Results Available","Drug: Decitabine","Phase 4","null","https://ClinicalTrials.gov/show/NCT03579082"
57,"NCT00895661","High Dose Rituximab for Initial Treatment of Indolent B-Cell Lymphomas",,"Completed","Has Results","Drug: rituximab","Phase 2","May 9, 2017","https://ClinicalTrials.gov/show/NCT00895661"
58,"NCT03650933","A Study Comparing the Efficacy and Safety of G-CHOP Versus R-CHOP in Untreated Diffuse Large B-cell Lymphoma Patients",,"Not yet recruiting","No Results Available","Biological: G-CHOP|Biological: R-CHOP","Phase 3","null","https://ClinicalTrials.gov/show/NCT03650933"
59,"NCT03681535","Dose-Reduced Consolidation Radiation Therapy in Patients With Diffuse Large B-cell Lymphoma","DLBCL","Not yet recruiting","No Results Available","Radiation: Radiation Therapy","Not Applicable","null","https://ClinicalTrials.gov/show/NCT03681535"
60,"NCT02708732","Utility Study in Diffuse Large B-Cell Lymphoma (DLBCL)",,"Completed","No Results Available","","","null","https://ClinicalTrials.gov/show/NCT02708732"
61,"NCT02951728","Decitabine Plus R-CHOP in Diffuse Large B-cell Lymphoma","DR-CHOP","Recruiting","No Results Available","Drug: Rituximab|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone|Drug: Decitabine","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT02951728"
62,"NCT01799083","Lower Dose Decitabine Based Therapy in Patients With Refractory and/or Chemotherapy Resistant Solid Tumors or B Cell Lymphomas","CIK","Unknown status","No Results Available","Drug: Decitabine|Biological: cytokine-induced killer cell","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT01799083"
63,"NCT01499303","Study to Learn if 200mg Test Drug (Fostamatinib) Helps People With Large B-Cell Lymphoma,a Type of Blood Cancer",,"Completed","Has Results","Drug: Fostamatinib","Phase 2","August 22, 2014","https://ClinicalTrials.gov/show/NCT01499303"
64,"NCT03415399","Clinical Study of ET190L1 ARTEMIS™ in Relapsed, Refractory B Cell Lymphoma",,"Recruiting","No Results Available","Biological: ET190L1 ARTEMIS™ T cells","Phase 1","null","https://ClinicalTrials.gov/show/NCT03415399"
65,"NCT03104478","Real Time Molecular Characterization of Diffuse Large B Cell Lymphoma (DLBCL)","RT3","Recruiting","No Results Available","Procedure: Biological samples collection","","null","https://ClinicalTrials.gov/show/NCT03104478"
66,"NCT01622439","Valproate as First Line Therapy in Combination With Rituximab and CHOP in Diffuse Large B-cell Lymphoma","VALFRID","Completed","No Results Available","Drug: Valproate|Drug: Rituximab|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Prednisone","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT01622439"
67,"NCT02763319","A Trial to Evaluate the Efficacy and Safety of MOR208 With Bendamustine (BEN) Versus Rituximab (RTX) With BEN in Adult Patients With Relapsed or Refractory Diffuse Large B-cell Lymphoma (DLBCL)","B-MIND","Recruiting","No Results Available","Drug: Rituximab (RTX)|Drug: MOR208|Drug: Bendamustine (BEN)","Phase 2|Phase 3","null","https://ClinicalTrials.gov/show/NCT02763319"
68,"NCT01805557","Phase II Randomized Study With R-DHAP +/- Bortezomib as Induction Therapy in Relapsed/Refractory Diffuse Large B-cell Lymphoma (DLBCL) Patients Eligible to Transplantation. BR-DHAP Versus R-DHAP.","FIL_VERAL12","Unknown status","No Results Available","Drug: R-DHAP|Drug: BR-DHAP","Phase 2|Phase 3","null","https://ClinicalTrials.gov/show/NCT01805557"
69,"NCT03399513","Ibrutinib and Standard Immuno-Chemotherapy in Younger, High-Risk Patients With Diffuse Large B-Cell Lymphoma","R-CHOEP-brut","Recruiting","No Results Available","Drug: Ibrutinib Oral Capsule [Imbruvica]|Drug: R-CHOEP chemotherapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT03399513"
70,"NCT01278602","R-ESHAP Followed by Autologous Transplantation for Refractory or Relapsed Diffused Large B-cell Lymphoma",,"Unknown status","No Results Available","Drug: R-ESHAP","Phase 2","null","https://ClinicalTrials.gov/show/NCT01278602"
71,"NCT00138086","Yttrium-90 Ibritumomab Tiuxetan (Zevalin) With BEAM in Relapsed Low Grade B-Cell Lymphoma",,"Completed","No Results Available","Drug: Zevalin plus BEAM","Phase 2","null","https://ClinicalTrials.gov/show/NCT00138086"
72,"NCT03688152","A Safety and Tolerability Study of INCB053914 in Combination With INCB050465 in Diffuse Large B-Cell Lymphoma",,"Not yet recruiting","No Results Available","Drug: INCB053914|Drug: INCB050465","Phase 1","null","https://ClinicalTrials.gov/show/NCT03688152"
73,"NCT03123393","TAK-659 in Participants With Relapsed or Refractory Diffuse Large B-Cell Lymphoma (DLBCL)",,"Recruiting","No Results Available","Drug: TAK-659","Phase 2","null","https://ClinicalTrials.gov/show/NCT03123393"
74,"NCT03064867","Venetoclax Plus R-ICE Chemotherapy for Relapsed/Refractory Diffuse Large B-Cell Lymphoma",,"Active, not recruiting","No Results Available","Drug: Venetoclax|Drug: RICE","Phase 1","null","https://ClinicalTrials.gov/show/NCT03064867"
75,"NCT03200015","Rituximab, Cyclophosphamide, Vincristine and Prednisone (R-CHOP) Plus Metformin in Diffuse Large-B-cell Lymphoma",,"Active, not recruiting","No Results Available","Drug: Metformin","Phase 2","null","https://ClinicalTrials.gov/show/NCT03200015"
76,"NCT03485118","RHCACD20MA (HS006) Combined With CHOP (Hi-CHOP) in Patients With Previously Untreated Diffuse Large B-cell Lymphoma","Hi-CHOP","Completed","No Results Available","Drug: HS006+CHOP|Drug: Rituximab+CHOP","Phase 2","null","https://ClinicalTrials.gov/show/NCT03485118"
77,"NCT03036904","Study of Venetoclax Plus DA-EPOCH-R for the Treatment of Aggressive B-Cell Lymphomas","V+DA-EPOCH-R","Recruiting","No Results Available","Drug: Venetoclax|Drug: Rituximab|Drug: Etoposide|Drug: Vincristine Sulfate|Drug: Cyclophosphamide|Drug: Prednisone|Drug: Doxorubicin Hydrochloride","Phase 1","null","https://ClinicalTrials.gov/show/NCT03036904"
78,"NCT03383406","A Phase II Trial of Ifosfamide, Etoposide, Cytarabine, and Methotrexate (IVAM) Chemotherapy for Refractory or Relapsed Diffuse Large B Cell Lymphoma","IVAM","Enrolling by invitation","No Results Available","Drug: Ifosfamide, Etoposide, Cytarabine, and Methotrexate (IVAM) Chemotherapy","Phase 2","null","https://ClinicalTrials.gov/show/NCT03383406"
79,"NCT01289210","VTX-2337 in Combination With Radiotherapy in Patients Low-Grade B-cell Lymphomas",,"Terminated","Has Results","Drug: VTX-2337 plus radiotherapy","Phase 1|Phase 2","October 6, 2014","https://ClinicalTrials.gov/show/NCT01289210"
80,"NCT03121456","18F-FDG PET Scan and MRI Diffusion.Evaluation of the Early Therapeutic Response of Diffuse Large B-cell Lymphoma","LYMPHODTECT","Recruiting","No Results Available","Other: 18F-FDG PET SCAN|Other: MRI DIFFUSION","Not Applicable","null","https://ClinicalTrials.gov/show/NCT03121456"
81,"NCT03670901","A Study to Compare the Efficacy and Safety of JHL1101 Versus Rituximab in Patients With Previously Untreated Diffuse Large B-Cell Lymphoma (DLBCL)",,"Not yet recruiting","No Results Available","Biological: JHL1101|Biological: MabThera","Phase 3","null","https://ClinicalTrials.gov/show/NCT03670901"
82,"NCT03022123","The Study of Pegylated Liposomal Doxorubicin Contrast Epirubicin for the Treatment of Diffuse Large B-cell Lymphoma",,"Unknown status","No Results Available","Drug: PL-doxorubicin and epirubicin","Not Applicable","null","https://ClinicalTrials.gov/show/NCT03022123"
83,"NCT03145064","Study of BTK Inhibitor BGB-3111 in Subjects With Relapsed/Refractory Non-GCB Type Diffuse Large B Cell Lymphoma",,"Recruiting","No Results Available","Drug: BGB-3111","Phase 2","null","https://ClinicalTrials.gov/show/NCT03145064"
84,"NCT02595242","Safety and Efficacy Study of CNOP Chemotherapy in Diffuse Large B Cell Lymphoma",,"Withdrawn","No Results Available","Drug: Cyclophosphamide|Drug: Vincristine|Drug: Prednisone","Phase 1","null","https://ClinicalTrials.gov/show/NCT02595242"
85,"NCT01466868","Study of MK 2206 in Patients With Relapsed or Refractory Diffuse Large B Cell Lymphoma","AKTIL","Terminated","No Results Available","Drug: MK2206","Phase 2","null","https://ClinicalTrials.gov/show/NCT01466868"
86,"NCT01238692","A Phase II Study of Oral Panobinostat (LBH589) and Rituximab to Treat Diffuse Large B Cell Lymphoma (DLBCL)",,"Active, not recruiting","No Results Available","Drug: LBH589|Drug: Rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT01238692"
87,"NCT00001271","A Phase I Study of Continuous Infusion Immunotoxin IgG-RFB4-SMPT-dgA in Refractory CD22 Positive B-Cell Lymphoma",,"Completed","No Results Available","Drug: IgG-RFB4-SMPT-dgA","Phase 1","null","https://ClinicalTrials.gov/show/NCT00001271"
88,"NCT01949818","Treatment of Diffuse Large B Cell Lymphoma",,"Unknown status","No Results Available","Drug: Yangzhengxiaoji capsule combined with CHOP regimen|Drug: CHOP regimen","Phase 4","null","https://ClinicalTrials.gov/show/NCT01949818"
89,"NCT03677154","A Trial of Mosunetuzumab (BTCT4465A) as Consolidation Therapy in Participants With Diffuse Large B-Cell Lymphoma Following First-Line Immunochemotherapy and as Therapy in Participants With Previously Untreated Diffuse Large B-Cell Lymphoma Who Are Unable to Tolerate Full-Dose Chemotherapy",,"Recruiting","No Results Available","Drug: Mosunetuzumab|Drug: Tocilizumab","Phase 1|Phase 2","null","https://ClinicalTrials.gov/show/NCT03677154"
90,"NCT00645359","Pilot Study of dMRI as a Tool for Early Evaluation of Tumor Response in Diffuse Large B-cell Lymphoma","dMRI","Terminated","Has Results","Procedure: diffusion MRI","","October 8, 2014","https://ClinicalTrials.gov/show/NCT00645359"
91,"NCT01676558","A Phase II Study of 131I-rituximab for Relapsed/Refractory Diffuse Large B Cell Lymphoma (DLBCL)",,"Unknown status","No Results Available","Drug: 131I-rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT01676558"
92,"NCT02752204","An Evaluation AZD2014 Alone and in Combination With Rituximab in Relapsed/Refractory Diffuse Large B Cell Lymphoma","TORCH","Active, not recruiting","No Results Available","Drug: AZD 2014|Drug: Rituximab","Phase 2","null","https://ClinicalTrials.gov/show/NCT02752204"
93,"NCT03399747","Abbreviated 3 Cycles of Rituximab Plus CHOP(Cyclophosphamide, Adriamycin, Vincristine, and Prednisolone) Immunochemotherapy in Patients With Completely Excised LocalizedGastrointestinal CD(Cluster of Differentiation Antigen)20(+) Diffuse Large B-cell Lymphoma",,"Enrolling by invitation","No Results Available","Drug: Abb-R-CHOP","Phase 2","null","https://ClinicalTrials.gov/show/NCT03399747"
94,"NCT01282476","Panobinostat With Rituximab for Relapsed/Refractory Diffuse Large B Cell Lymphoma",,"Terminated","Has Results","Drug: Panobinostat with Rituximab","Phase 2","March 31, 2017","https://ClinicalTrials.gov/show/NCT01282476"
95,"NCT01766583","A Phase IB Study Of The BTKi CC-292 Combined With Lenalidomide In Adults Patients With Relapsed/Refractory B-Cell Lymphoma","CLEAR","Completed","No Results Available","Drug: CC-292 + lenalidomide","Phase 1","null","https://ClinicalTrials.gov/show/NCT01766583"
96,"NCT03274492","A Study Comparing the Efficacy and Safety of Polatuzumab Vedotin With Rituximab-Cyclophosphamide, Doxorubicin, and Prednisone (R-CHP) Versus Rituximab-Cyclophosphamide, Doxorubicin, Vincristine, and Prednisone (R-CHOP) in Participants With Diffuse Large B-Cell Lymphoma","POLARIX","Recruiting","No Results Available","Drug: Polatuzumab Vedotin|Drug: Rituximab|Drug: Cyclophosphamide|Drug: Doxorubicin|Drug: Vincristine|Drug: Vincristine Placebo|Drug: Prednisone|Drug: Polatuzumab vedotin Placebo","Phase 3","null","https://ClinicalTrials.gov/show/NCT03274492"
97,"NCT01556035","Lenalidomide in Relapsed or Refractory Primary-cutaneous Large B-cell Lymphoma Leg-type : Multicentre Prospective Phase II Single Arm Trial of the French Study Group of Cutaneous Lymphoma","REV-LEG","Completed","No Results Available","Drug: Lenalidomide","Phase 2","null","https://ClinicalTrials.gov/show/NCT01556035"
98,"NCT02449265","Efficacy of Consolidative Involved-site Radiotherapy for Patients With Limited-stage Diffuse Large B-cell Lymphoma",,"Recruiting","No Results Available","Radiation: Consolidation involved-site radiotherapy (ISRT)|Radiation: Consolidation involved-field radiotherapy (IFRT)|Drug: cyclophosphamide|Drug: doxorubicin|Drug: vincristine|Drug: prednisone","Phase 3","null","https://ClinicalTrials.gov/show/NCT02449265"
99,"NCT02449278","The Palliative Benefit of Involved-site Radiotherapy for Patients With Advanced-stage Diffuse Large B-cell Lymphoma",,"Recruiting","No Results Available","Radiation: Consolidation involved-site radiotherapy (ISRT)|Radiation: Consolidation involved-field radiotherapy (IFRT)|Drug: cyclophosphamide|Drug: doxorubicin|Drug: vincristine|Drug: prednisone","Phase 3","null","https://ClinicalTrials.gov/show/NCT02449278"
100,"NCT02692248","Ibrutinib in Patients With Refractory/Relapsed Non-GCB Diffuse Large B-cell Lymphoma Non-candidates to Autologous Stem Cell Transplantation",,"Recruiting","No Results Available","Drug: Ibrutinib|Drug: Rituximab|Drug: Gemcitabine|Drug: Oxaliplatin|Drug: Dexamethasone","Phase 2","null","https://ClinicalTrials.gov/show/NCT02692248"
